Country,Year,Value
Kenya,2015,2.8
Kenya,2023,5.5
Kiribati,2005,14.7
Kiribati,2010,30.6
Kosovo,2005,41.4
Kosovo,2009,45.4
Kosovo,2012,30.9
Kuwait,2005,1.5
Kuwait,2010,1.8
Kuwait,2015,2.2
Kuwait,2023,2.5
Kyrgyzstan,2005,2.4
Kyrgyzstan,2010,2.8
Kyrgyzstan,2015,3.4
Kyrgyzstan,2023,4.8
Lao People's Dem. Rep.,2005,1.4
Lao People's Dem. Rep.,2010,0.7
Lao People's Dem. Rep.,2015,2.5
Lao People's Dem. Rep.,2023,2.9
Latvia,2005,10.0
Latvia,2010,19.5
Latvia,2015,9.9
Latvia,2023,6.3
Lebanon,2005,8.3
Lebanon,2010,6.8
Lebanon,2015,9.3
Lebanon,2023,12.8
Lesotho,2005,17.0
Lesotho,2010,16.9
Lesotho,2015,16.9
Lesotho,2023,17.9
Liberia,2005,2.2
Liberia,2010,2.3
Liberia,2015,2.6
Liberia,2023,3.6
Libya,2005,19.5
Libya,2010,19.3
Libya,2015,19.5
Libya,2023,20.5
Liechtenstein,2010,2.6
Liechtenstein,2013,2.6
Lithuania,2005,8.3
Lithuania,2010,17.8
Lithuania,2015,9.1
Lithuania,2023,5.5
Luxembourg,2005,4.5
Luxembourg,2010,4.4
Luxembourg,2015,6.7
Luxembourg,2023,5.0
Madagascar,2005,2.6
Madagascar,2010,4.3
Madagascar,2015,1.8
Madagascar,2023,2.1
Malawi,2005,4.9
Malawi,2010,4.9
Malawi,2015,5.0
Malawi,2023,5.6
Malaysia,2005,3.5
Malaysia,2010,3.4
Malaysia,2015,3.1
Malaysia,2023,3.8
Maldives,2005,7.3
Maldives,2010,11.0
Maldives,2015,6.6
Maldives,2023,4.9
Mali,2005,1.3
Mali,2010,1.3
Mali,2015,1.4
Mali,2023,2.9
Malta,2005,6.9
Malta,2010,6.9
Malta,2015,5.4
Malta,2023,2.8
Marshall Islands,2011,4.7
Martinique,2005,18.7
Martinique,2010,21.0
Martinique,2013,22.8
Mauritania,2005,9.9
Mauritania,2010,9.9
Mauritania,2015,10.2
Mauritania,2023,11.2
Mauritius,2005,9.5
Mauritius,2010,7.7
Mauritius,2015,7.4
Mauritius,2023,7.1
Mexico,2005,3.6
Mexico,2010,5.3
Mexico,2015,4.3
Mexico,2023,3.4
Monaco,2000,3.6
Mongolia,2005,7.0
Mongolia,2010,6.6
Mongolia,2015,4.9
Mongolia,2023,8.9
Montenegro,2005,30.3
Montenegro,2010,19.7
Montenegro,2015,17.6
Montenegro,2023,16.1
Montserrat,2001,9.5
Montserrat,2011,5.6
Morocco,2005,11.0
Morocco,2010,9.1
Morocco,2015,9.5
Morocco,2023,10.5
Mozambique,2005,3.0
Mozambique,2010,3.2
Mozambique,2015,3.4
Mozambique,2023,3.9
Myanmar,2005,0.7
Myanmar,2010,0.7
Myanmar,2015,0.8
Myanmar,2020,1.5
Namibia,2005,22.3
Namibia,2010,22.1
Namibia,2015,20.9
Namibia,2023,20.6
Nauru,2002,22.7
Nauru,2011,23.0
Nepal,2005,10.5
Nepal,2010,10.5
Nepal,2015,10.5
Nepal,2023,11.0
Netherlands (Kingdom of the),2005,5.9
Netherlands (Kingdom of the),2010,5.0
Netherlands (Kingdom of the),2015,6.9
Netherlands (Kingdom of the),2023,3.8
